Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
410,328,C300k_L1400k_M0k_V2,300000,1400000,0,V2,15000,159,13.25,2129745.28,516805.21,0.00,1773876.27,-91475.83,6.18%
411,434,C500k_L600k_M600k_V3,500000,600000,600000,V3,40000,78,6.50,1932962.21,252263.26,46285.23,1774147.30,-91204.80,6.14%
412,419,C500k_L300k_M900k_V3,500000,300000,900000,V3,40000,75,6.25,1933187.35,260952.41,53862.34,1774182.56,-91169.54,6.14%
413,409,C500k_L100k_M1100k_V3,500000,100000,1100000,V3,40000,72,6.00,1929192.26,256025.19,51986.30,1774880.53,-90471.57,6.11%
414,268,C300k_L200k_M1200k_V2,300000,200000,1200000,V2,15000,165,13.75,2185266.93,706920.61,128888.19,1775004.00,-90348.10,6.45%
415,439,C500k_L700k_M500k_V3,500000,700000,500000,V3,40000,78,6.50,1932956.36,246177.33,40205.16,1775489.62,-89862.48,6.13%
416,414,C500k_L200k_M1000k_V3,500000,200000,1000000,V3,40000,75,6.25,1933172.75,260253.90,53178.44,1775495.52,-89856.58,6.12%
417,444,C500k_L800k_M400k_V3,500000,800000,400000,V3,40000,78,6.50,1932714.73,239063.08,33332.54,1776936.14,-88415.96,6.11%
418,327,C300k_L1400k_M0k_V1,300000,1400000,0,V1,5000,252,21.00,2318291.99,821030.00,0.00,1776966.47,-88385.63,6.48%
419,258,C300k_L0k_M1400k_V2,300000,0,1400000,V2,15000,148,12.33,2151301.68,644146.21,115708.71,1777157.40,-88194.70,6.32%
420,263,C300k_L100k_M1300k_V2,300000,100000,1300000,V2,15000,157,13.08,2174396.76,682924.63,123276.87,1777996.94,-87355.16,6.38%
421,449,C500k_L900k_M300k_V3,500000,900000,300000,V3,40000,78,6.50,1933064.74,232031.12,25950.57,1778636.14,-86715.96,6.08%
422,454,C500k_L1000k_M200k_V3,500000,1000000,200000,V3,40000,78,6.50,1932801.08,223527.17,17710.27,1780350.99,-85001.11,6.06%
423,459,C500k_L1100k_M100k_V3,500000,1100000,100000,V3,40000,75,6.25,1932218.20,215168.89,9047.98,1781592.55,-83759.55,6.04%
424,464,C500k_L1200k_M0k_V3,500000,1200000,0,V3,40000,72,6.00,1932168.37,207015.00,0.00,1783006.83,-82345.27,6.01%
425,281,C300k_L500k_M900k_V0,300000,500000,900000,V0,0,360,30.00,2581674.86,1575972.18,263842.24,1784251.67,-81100.43,14.32%
426,469,C600k_L0k_M1100k_V3,600000,0,1100000,V3,40000,66,5.50,1914616.29,213060.56,45075.71,1784344.12,-81007.98,6.09%
427,176,C200k_L0k_M1500k_V0,200000,0,1500000,V0,0,360,30.00,2680024.65,1930943.22,308349.34,1785612.39,-79739.71,5.94%
428,267,C300k_L200k_M1200k_V1,300000,200000,1200000,V1,5000,275,22.92,2473589.30,1237549.16,222390.23,1785709.38,-79642.72,7.65%
429,479,C600k_L200k_M900k_V3,600000,200000,900000,V3,40000,69,5.75,1923405.05,222289.34,47580.72,1786309.19,-79042.91,6.11%
430,489,C600k_L400k_M700k_V3,600000,400000,700000,V3,40000,72,6.00,1925310.11,220794.66,46201.22,1786498.23,-78853.87,6.13%
431,484,C600k_L300k_M800k_V3,600000,300000,800000,V3,40000,72,6.00,1924987.73,222317.88,48046.81,1786573.92,-78778.18,6.13%
432,474,C600k_L100k_M1000k_V3,600000,100000,1000000,V3,40000,69,5.75,1921169.40,218984.15,46511.18,1786665.33,-78686.77,6.10%
433,494,C600k_L500k_M600k_V3,600000,500000,600000,V3,40000,72,6.00,1926150.85,217390.31,41956.12,1787678.91,-77673.19,6.12%
434,499,C600k_L600k_M500k_V3,600000,600000,500000,V3,40000,72,6.00,1926466.49,212489.31,36739.48,1788927.06,-76425.04,6.10%
